evidence_id,evidence_type,title,source_or_reference,epic_connection,claim,confidence,production_use,notes
HW-0001,TEXT,Pukar as maritime merchant city,Cilappatikaram Pukar Kandam,"Pukar city, merchants, sea and Kaveri world","Epic presents Pukar as a wealthy Chola port and merchant centre",HIGH,Harbour and city design,"Tamil source controls interpretation"
HW-0002,TEXT,Maruvurpakkam and Pattinappakkam,Cilappatikaram Pukar Kandam + Silambo Silambu commentary,"Urban zones, traders, foreign goods, specialists","Use as literary model for layered port-city reconstruction",MEDIUM,Street planning and market design,"Commentary is secondary; verify externally"
HW-0003,TEXT,Merchant households,Cilappatikaram Pukar Kandam,"Kannaki and Kovalan lineages","Wealth includes household, kinship and social obligations",HIGH,Domestic interiors and costume,"Do not equate wealth only with gold"
HW-0004,ARCHAEOLOGY,Poompuhar coastal evidence,Tamil Nadu archaeology research,"Pukar maritime setting","Archaeology supports coastal settlement and maritime activity",MEDIUM,Waterfront design,"Does not prove exact epic city plan"
HW-0005,TEXT,Changing landscapes on the road,Cilappatikaram Madurai Kandam,"Journey to Madurai","Landscape, climate and hardship affect the narrative",HIGH,Travel sequences,"Avoid static landscape stereotypes"
HW-0006,TEXT,Madurai justice failure,Cilappatikaram Madurai Kandam,"Goldsmith accusation and Kovalan execution","Royal decision occurs without adequate investigation",HIGH,Court and political drama,"Central moral event"
HW-0007,TEXT,Madurai urban catastrophe,Cilappatikaram Madurai Kandam,"Burning of Madurai","Destruction must show inhabited civic consequences",HIGH,Disaster design,"Avoid spectacle without society"
HW-0008,TEXT,Hill community recognition,Cilappatikaram Vanchi Kandam,"Kunrakkuravai","Hill people are witnesses and interpreters",HIGH,Community portrayal,"Not background scenery"
HW-0009,TEXT,Pattini memorial project,Cilappatikaram Vanchi Kandam,"Katchi, Kalkol, Neerppadai, Nadukal","Memory becomes ritual and political institution",HIGH,Final act design,"Track stone, journey and consecration"
HW-0010,ARCHAEOLOGY,Craft and trade sites,External archaeology studies,"Trade economy context","Craft production and exchange networks may inform material culture",MEDIUM,Objects and production design,"Requires specialist review before final use"
